symbol,report_date
ABT,2007-04-18
ABT,2007-07-18
ABT,2007-10-17
ABT,2008-01-23
ABT,2008-04-16
ABT,2008-07-16
ABT,2008-10-15
ABT,2009-01-21
ABT,2009-04-15
ABT,2009-07-15
ABT,2009-10-14
ABT,2010-01-27
ABT,2010-04-21
ABT,2010-07-21
ABT,2010-10-20
ABT,2011-01-26
ABT,2011-04-20
ABT,2011-07-20
ABT,2011-10-19
ABT,2012-01-25
ABT,2012-04-18
ABT,2012-07-18
ABT,2012-10-17
ABT,2013-01-23
ABT,2013-04-17
ABT,2013-07-17
ABT,2013-10-16
ABT,2014-01-22
ABT,2014-04-16
ABT,2014-07-16
ABT,2014-10-22
ABT,2015-01-29
ABT,2015-04-22
ABT,2015-07-22
ABT,2015-10-21
ABT,2016-01-28
ABT,2016-04-20
ABT,2016-07-20
ABT,2016-10-19
ABT,2017-01-25
ABT,2017-04-19
ABT,2017-07-20
ABT,2017-10-18
ABT,2018-01-24
ABT,2018-04-18
ABT,2018-07-18
ABT,2018-10-17
ABT,2019-01-23
ABT,2019-04-17
ABT,2019-07-17
ABT,2019-10-16
ABT,2020-01-22
ABT,2020-04-16
ABT,2020-07-16
ABT,2020-10-21
ABT,2021-01-27
ABT,2021-04-20
ABT,2021-07-22
ABT,2021-10-20
ABT,2022-01-26
ABT,2022-04-20
ABT,2022-07-20
ABT,2022-10-19
ABT,2023-01-25
ABT,2023-04-19
ABT,2023-07-20
ABT,2023-10-18
ABT,2024-01-24
ABT,2024-04-17
ABT,2024-07-18
ABT,2024-10-16
ABT,2025-01-22
ABT,2025-04-16
ABT,2025-07-17
ABT,2025-10-15
ABT,2026-01-22
ABT,2026-04-16
ADBE,1996-09-25
ADBE,1997-01-07
ADBE,1997-03-18
ADBE,1997-06-18
ADBE,1997-09-19
ADBE,1997-12-18
ADBE,1998-03-26
ADBE,1998-06-25
ADBE,1998-09-10
ADBE,1998-12-16
ADBE,1999-03-18
ADBE,1999-06-17
ADBE,1999-09-16
ADBE,1999-12-16
ADBE,2000-03-16
